_id	vector_id	timestamp	speed	elapsed	level_of_service	cin_id	creation_time
69594	282	2016-09-04T17:01:00Z	72.874596	472.0	green	cin19970109T101108852804668140234799036160	1473008481
69598	280	2016-09-04T08:28:00Z	38.341908	1205.0	green	cin19970110T133033852903033140234817783552	1472977819
69602	312	2016-09-02T11:55:00Z	58.520973	797.0	green	cin19970110T235919852940759140541396252416	1472817422
69605	282	2016-09-02T11:37:00Z	59.13106	681.0	green	cin19970111T134313852990193140541629155072	1472816330
69614	293	2016-09-04T17:58:00Z	53.197872	858.0	green	cin19970112T100411853063451140234950039296	1473011955
69615	276	2016-09-02T18:22:00Z	4.6218047	4788.0	red	cin19970112T152658853082818140541387859712	1472840648
69616	316	2016-09-03T18:15:00Z	71.75826	452.0	green	cin19970112T165448853088088140234933253888	1472926632
69617	283	2016-09-02T07:15:00Z	71.06734	492.0	green	cin19970112T204329853101809140541629155072	1472800583
69620	316	2016-09-04T12:13:00Z	64.484085	501.0	green	cin19970113T055110853134670140234799036160	1472991287
69622	316	2016-09-04T13:15:00Z	64.87229	498.0	green	cin19970113T151809853168689140234826176256	1472994972
69623	295	2016-09-02T19:17:00Z	12.2825775	8303.0	yellow	cin19970113T162423853172663140541371074304	1472843973
69626	277	2016-09-03T00:02:00Z	35.341324	634.0	green	cin19970113T203251853187571140541371074304	1472861021
69629	346				green	cin19970114T013413853205653139983585380096	1467976890
69630	292	2016-09-02T15:48:00Z	41.78836	1094.0	green	cin19970114T050946853218586140541320750848	1472831358
69635	282	2016-09-04T07:03:00Z	74.48658	462.0	green	cin19970114T155240853257160140234817783552	1472972711
69638	346	2016-09-02T08:18:00Z	54.745716	840.0	green	cin19970115T030140853297300140541637547776	1472804428
69642	313	2016-09-04T16:03:00Z	73.194695	619.0	green	cin19970115T180852853351732140234817783552	1473005100
69643	308	2016-09-03T14:27:00Z	21.74313	1157.0	red	cin19970115T195023853357823140234941646592	1472912964
69646	312	2016-09-02T13:29:00Z	65.67205	710.0	green	cin19970116T073342853400022140541645940480	1472823046
69649	315	2016-09-03T14:12:00Z	21.51092	5757.0	green	cin19970116T081934853402774140234826176256	1472911998
69655	293	2016-09-03T04:45:00Z			green	cin19970116T221839853453119140234924861184	1472878032
